
num_epochs     batch_size     lr             r2             loss           score          model

150            8              0.1            0.4565         3.9391         1.8067         52.2797(sqrt(gam)/sqrt(ras))+0.9489

200            8              0.1            0.4565         3.939          1.8067         52.8325(sqrt(gam)/sqrt(ras))+0.9048

150            4              0.1            0.436          4.0874         1.7422         53.1844(sqrt(gam)/sqrt(ras))+0.5547

200            4              0.1            0.436          4.0874         1.7422         53.1941(sqrt(gam)/sqrt(ras))+0.5539

150            8              0.5            0.4            4.3482         1.6393         53.2179(sqrt(gam)/sqrt(ras))+0.3

200            8              0.5            0.4            4.3482         1.6393         53.2179(sqrt(gam)/sqrt(ras))+0.3

150            4              0.5            0.1552         6.1229         1.1699         71.5637(sqrt(alpl)/ras)+1.9333

200            4              0.5            0.1552         6.1229         1.1699         71.5637(sqrt(alpl)/ras)+1.9333
