
num_epochs     batch_size     lr             r2             loss           score          model

100            32             0.1            0.4275         4.1495         1.7167         27.8921(gam**(1/3)/ras**(1/3))+0.102

100            64             0.1            0.3752         4.5285         1.5753         20.6227(gam**(1/3)/ras**(1/3))+1.3937

50             32             0.1            0.3673         4.5857         1.5559         19.8683(gam**(1/3)/ras**(1/3))+1.536

50             64             0.1            0.2742         5.2605         1.3591         12.9182(gam**(1/3)/ras**(1/3))+2.7566

100            128            0.1            0.2689         5.2988         1.3493         12.5849(gam**(1/3)/ras**(1/3))+2.7569

50             128            0.1            0.1726         5.9963         1.1942         7.3708(gam**(1/3)/ras**(1/3))+3.6728

100            256            0.1            0.1724         5.998          1.1939         7.3575(gam**(1/3)/ras**(1/3))+3.6971

100            32             0.01           0.1451         6.1961         1.1562         6.0588(gam**(1/3)/ras**(1/3))+3.9309

10             32             0.1            0.1445         6.2            1.1554         6.0768(gam**(1/3)/ras**(1/3))+4.0007

50             256            0.1            0.1056         6.482          1.1057         4.2857(gam**(1/3)/ras**(1/3))+4.2366

10             64             0.1            0.0925         6.577          1.0899         3.7364(gam**(1/3)/ras**(1/3))+4.3808

100            64             0.01           0.092          6.5804         1.0893         3.7052(gam**(1/3)/ras**(1/3))+4.3635

50             32             0.01           0.0891         6.6015         1.0859         3.5769(gam**(1/3)/ras**(1/3))+4.3669

50             64             0.01           0.0589         6.8208         1.0514         2.3214(gam**(1/3)/ras**(1/3))+4.607

100            128            0.01           0.0583         6.8253         1.0508         2.2914(gam**(1/3)/ras**(1/3))+4.5926

10             128            0.1            0.0578         6.8284         1.0502         2.2745(gam**(1/3)/ras**(1/3))+4.5679

50             128            0.01           0.0409         6.9513         1.0319         1.5901(gam**(1/3)/ras**(1/3))+4.7147

100            256            0.01           0.0405         6.9539         1.0315         1.5773(gam**(1/3)/ras**(1/3))+4.7236

10             256            0.1            0.0402         6.9562         1.0311         1.5632(gam**(1/3)/ras**(1/3))+4.7143

10             32             0.01           0.036          6.9866         1.0267         1.3964(gam**(1/3)/ras**(1/3))+4.742

100            32             0.001          0.036          6.9866         1.0267         1.397(gam**(1/3)/ras**(1/3))+4.752

50             256            0.01           0.0303         7.0277         1.0207         1.1914(gam**(1/3)/ras**(1/3))+4.715

10             64             0.01           0.0261         7.0581         1.0164         1.1254(gam**(1/3)/ras**(1/3))+4.6386

100            64             0.001          0.0261         7.0584         1.0164         1.1264(gam**(1/3)/ras**(1/3))+4.6364

50             32             0.001          0.0242         7.0723         1.0144         1.11(gam**(1/3)/ras**(1/3))+4.6066

50             64             0.001          -0.0964        7.9465         0.9038         0.8508(gam**(1/3)/ras**(1/3))+3.9071

