
num_epochs     batch_size     lr             r2             loss           score          model

150            16             0.1            0.4514         3.9762         1.7902         46.9538(sqrt(gam)/sqrt(ras))+1.4375

100            16             0.1            0.4388         4.0671         1.7507         32.3908(gam**(1/3)/ras**(1/3))+-0.676

150            32             0.1            0.4375         4.0764         1.7467         31.2839(gam**(1/3)/ras**(1/3))+-0.5042

150            16             0.05           0.4368         4.0816         1.7446         30.9062(gam**(1/3)/ras**(1/3))+-0.452

100            32             0.1            0.4274         4.1496         1.7164         27.8901(gam**(1/3)/ras**(1/3))+0.1024

100            16             0.05           0.4256         4.1631         1.7112         27.4755(gam**(1/3)/ras**(1/3))+0.1589

150            32             0.05           0.4099         4.2769         1.6664         24.7321(gam**(1/3)/ras**(1/3))+0.6384

100            32             0.05           0.3674         4.5847         1.5562         19.8659(gam**(1/3)/ras**(1/3))+1.4958

150            16             0.01           0.2891         5.1525         1.3872         13.8521(gam**(1/3)/ras**(1/3))+2.5465

100            16             0.01           0.2279         5.5956         1.2786         10.2196(gam**(1/3)/ras**(1/3))+3.1835

150            32             0.01           0.1923         5.8539         1.2229         8.3452(gam**(1/3)/ras**(1/3))+3.5293

100            32             0.01           0.1452         6.1955         1.1563         6.0626(gam**(1/3)/ras**(1/3))+3.9302
